Date,Cabo NSA value,Cabo SA value
2010-02-28,122.52242403,123.23271231
2010-01-31,122.68346831,123.24030539
2009-12-31,123.83503288,123.64513672
2009-11-30,124.64278852,123.93808336
2009-10-31,124.64978846,123.21878981
2009-09-30,124.52748852,122.65442845
2009-08-31,124.46502782,122.41150051
2009-07-31,124.27425949,122.132441
2009-06-30,123.65002909,121.85129227
2009-05-31,122.51781433,121.31428390000002
2009-04-30,122.38355228,121.76301447
2009-03-31,123.72212927,123.91144882
2009-02-28,125.70217954,126.33375355
2009-01-31,128.15505203,128.73560095
2008-12-31,131.59493057,131.52210039
2008-11-30,135.71656485,135.08517923
2008-10-31,139.41185668,137.88338655
2008-09-30,142.38904442,140.22372332
2008-08-31,145.34236824,142.96366699
2008-07-31,148.77982344,146.14548788
2008-06-30,151.5252695,149.15966846
2008-05-31,153.93768917,152.28127306
2008-04-30,157.02048163,156.08329132
2008-03-31,160.32642673,160.42937473
2008-02-29,164.66325177,165.39761599
2008-01-31,169.93312229,170.81864145
2007-12-31,175.29998293,175.56444007
2007-11-30,180.97601877,180.41541844
2007-10-31,187.15052408,185.33229057
2007-09-30,192.98161784,190.16054626
2007-08-31,197.84949743,194.6088696
2007-07-31,202.590486,198.93926701
2007-06-30,206.85759361,203.36523658
2007-05-31,209.58030562,206.94292303
2007-04-30,211.67307535,210.05645473
2007-03-31,212.88941627,212.74447503
2007-02-28,212.5940867,213.46073326
2007-01-31,212.33494972,213.72338373
2006-12-31,213.78733602,214.58328978
2006-11-30,216.77124418,216.32594245
2006-10-31,219.94678564,218.05783127
2006-09-30,222.9722713,219.90072223
2006-08-31,226.31025217,222.51487732
2006-07-31,229.34352988,225.06416903
2006-06-30,231.57853029,227.45039294
2006-05-31,233.10997987,229.88184734
2006-04-30,233.63598742,231.66117269
2006-03-31,233.50362456,233.28151276
2006-02-28,233.11396476,234.22908804
2006-01-31,232.95766778,234.65893156
2005-12-31,233.49764784,234.53317877
2005-11-30,234.52791106,234.02008404
2005-10-31,235.36010472,233.32961147
2005-09-30,235.50146569,232.26419312
2005-08-31,234.23324932,230.13749911
2005-07-31,231.59030099,227.22205339
2005-06-30,228.35324019,224.31690521
2005-05-31,224.71338568,221.65416782
2005-04-30,220.12708741,218.30548421
2005-03-31,214.65790323,214.6117359
2005-02-28,209.76630405,210.98231973
2005-01-31,205.65718382,207.14147759
2004-12-31,202.43883735,203.16538796
2004-11-30,200.21346496,199.54532203
2004-10-31,197.60520961,195.72732757
2004-09-30,194.45078515,191.73281126
2004-08-31,191.51871823,188.11878179
2004-07-31,188.42670966,184.88806591
2004-06-30,184.29875426,181.18525771
2004-05-31,179.12401039,176.93035773
2004-04-30,173.52397398,172.2445283
2004-03-31,168.68278425,168.77863301
2004-02-29,164.87063112,165.93236364
2004-01-31,162.22692824,163.22369617
2003-12-31,160.64358324,160.92912325
2003-11-30,159.087675,158.35522427
2003-10-31,157.31689057,155.70469511
2003-09-30,155.50496608,153.31098799999995
2003-08-31,153.728631,151.06545547
2003-07-31,151.25035706,148.57733695
2003-06-30,148.31898645,146.02071094
2003-05-31,146.04658122,144.42860733
2003-04-30,144.02111829,142.98902678
2003-03-31,141.20644316,141.21062662
2003-02-28,138.52629735,139.32173524
2003-01-31,136.90224622,137.53768241
2002-12-31,135.34621486,135.41749117
2002-11-30,133.85458672,133.17747098
2002-10-31,132.41354871,131.07219376
2002-09-30,130.56773744,128.84021613
2002-08-31,128.59439886,126.5460047
2002-07-31,126.25836134,124.17695022
2002-06-30,123.67690218,121.85887588
2002-05-31,121.19437413,119.8389666
2002-04-30,118.77552824,117.87817317
2002-03-31,116.26189192,116.12397883
2002-02-28,113.9833382,114.47908458
2002-01-31,112.4611768,112.83871502
2001-12-31,111.47635726,111.46901534
2001-11-30,110.87880426,110.33768139
2001-10-31,110.4237579,109.4087923
2001-09-30,109.81172777,108.52526061
2001-08-31,109.21989053,107.66451159
2001-07-31,108.58953262,106.91620601
2001-06-30,107.63054152,106.0537129
2001-05-31,106.53594156,105.2308576
2001-04-30,105.29530619,104.4044322
2001-03-31,103.76533396,103.5105862
2001-02-28,102.21799218,102.51879339
2001-01-31,100.94290412,101.19599351
2000-12-31,100.0,100.0
2000-11-30,99.306297967,98.868980868
2000-10-31,98.50086874700001,97.705935304
2000-09-30,97.571632685,96.587561057
2000-08-31,96.930287345,95.688348255
2000-07-31,96.40073250799999,94.962019521
2000-06-30,95.777712811,94.30642177799999
2000-05-31,94.91809220200001,93.628165966
2000-04-30,93.71113437,92.85601434600001
2000-03-31,92.39915024700001,92.122486975
2000-02-29,91.31442553299999,91.523165645
2000-01-31,91.376506204,91.586410395
1999-12-31,90.822554881,90.835533894
1999-11-30,89.710519651,89.338856441
1999-10-31,89.535204921,88.87357529399998
1999-09-30,89.43215293700001,88.620024643
1999-08-31,89.33674290299999,88.243524515
1999-07-31,89.165013137,87.84205445
1999-06-30,88.896997801,87.49718340700001
1999-05-31,88.346761537,87.09631373100002
1999-04-30,87.48299594299999,86.64960118799999
1999-03-31,86.554027441,86.270538047
1999-02-28,85.816956859,85.988100175
1999-01-31,85.335635403,85.53554199
1998-12-31,85.16940322399999,85.196742338
1998-11-30,85.281417949,84.941092533
1998-10-31,85.309769595,84.696350216
1998-09-30,85.177080317,84.407726608
1998-08-31,85.198266765,84.152695485
1998-07-31,85.205098826,83.930006072
1998-06-30,85.027649899,83.709724138
1998-05-31,84.60638604399999,83.43974765899999
1998-04-30,83.82378662,83.023686216
1998-03-31,82.969675065,82.687832838
1998-02-28,82.166843397,82.318859355
1998-01-31,81.789039715,81.969526469
1997-12-31,82.05068725699999,82.064347791
1997-11-30,82.26438206,81.93052605
1997-10-31,82.358002849,81.76396176
1997-09-30,82.473477578,81.690130133
1997-08-31,82.71038331300001,81.67271449399999
1997-07-31,82.88682606399999,81.639686545
1997-06-30,82.864545067,81.665658917
1997-05-31,82.834388966,81.792896408
1997-04-30,82.69675086699999,81.92421853
1997-03-31,82.32910194,82.02000553
1997-02-28,82.01995377,82.12386040300001
1997-01-31,82.059855434,82.19204327899999
1996-12-31,82.379570875,82.360001317
1996-11-30,82.86142434,82.516401907
1996-10-31,83.376383785,82.763614972
1996-09-30,83.835991906,82.990232998
1996-08-31,84.251410283,83.18771455
1996-07-31,84.668597683,83.419820488
1996-06-30,84.698682973,83.576753425
1996-05-31,84.60780699600001,83.657970697
1996-04-30,84.607016897,83.847528786
1996-03-31,84.377258189,84.038108502
1996-02-29,84.28612243100001,84.34340309
1996-01-31,84.468984327,84.52473132600001
1995-12-31,84.841973693,84.748468503
1995-11-30,85.391959267,85.002356654
1995-10-31,85.851128907,85.201259875
1995-09-30,86.48818616700001,85.581901247
1995-08-31,87.238953625,86.161497251
1995-07-31,87.50017608200001,86.270043451
1995-06-30,87.534563472,86.49156478
1995-05-31,87.665033312,86.76522002
1995-04-30,87.83555351700001,87.080927448
1995-03-31,88.11899865299999,87.751451789
1995-02-28,88.23442652600002,88.258421255
1995-01-31,88.156955131,88.13490068600002
1994-12-31,88.23352505,88.042176984
1994-11-30,88.49293382799999,88.03161387899998
1994-10-31,88.79526691299999,88.07771908
1994-09-30,89.03355043299999,88.065733542
1994-08-31,89.155878878,88.092030684
1994-07-31,89.139826809,87.975040498
1994-06-30,88.987993516,88.03624291700001
1994-05-31,88.86777045,88.01890137299999
1994-04-30,88.68897079999998,87.97138536700001
1994-03-31,88.20341598799999,87.845649155
1994-02-28,87.742650435,87.73997565299999
1994-01-31,87.801267161,87.71706059
1993-12-31,88.12232668700001,87.826024026
1993-11-30,88.41539521899998,87.87446202299999
1993-10-31,88.76449370600002,88.00261380100002
1993-09-30,89.113491514,88.113207784
1993-08-31,89.249052435,88.22540359999998
1993-07-31,89.363540021,88.268191895
1993-06-30,89.777614624,88.908441515
1993-05-31,90.04837684299999,89.252604221
1993-04-30,90.013536335,89.354488556
1993-03-31,89.755655102,89.411650501
1993-02-28,89.634454013,89.585020196
1993-01-31,90.091280151,89.960728819
1992-12-31,90.94605815799999,90.550337375
1992-11-30,91.50652875899999,90.88420367299999
1992-10-31,91.77176125,90.939059586
1992-09-30,92.16615279,91.09249214399999
1992-08-31,92.21757448,91.15219338899999
1992-07-31,91.997718042,90.919554911
1992-06-30,91.946539588,91.131295474
1992-05-31,92.074686929,91.362064546
1992-04-30,92.29595281600001,91.70142117299999
1992-03-31,92.394334266,92.05070912
1992-02-29,92.478944848,92.35341750200001
1992-01-31,92.50775080700001,92.337143736
1991-12-31,92.49993622299999,92.03890989799999
1991-11-30,92.545453001,91.88896539
1991-10-31,92.52178270600001,91.660719655
1991-09-30,92.391437274,91.29377381100001
1991-08-31,92.538306006,91.45124407899999
1991-07-31,92.792329264,91.721226018
1991-06-30,92.64829519,91.855018704
1991-05-31,92.31790386600001,91.67862897399999
1991-04-30,91.91994076600001,91.39122556299999
1991-03-31,91.49395545600001,91.16117327200001
1991-02-28,91.151323645,90.976191479
1991-01-31,91.043753276,90.86347656
